Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,Mathematics,58
ALEXANDRIA,JOHN ADAMS ELEM,Elem,PK,5,Science,65
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,English: Reading,87
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,History & Social Sciences,99
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,Mathematics,89
ALEXANDRIA,LYLES-CROUCH ELEM,Elem,KG,5,Science,92
ALEXANDRIA,MAURY ELEM,Elem,KG,5,English: Reading,84
ALEXANDRIA,MAURY ELEM,Elem,KG,5,History & Social Sciences,91
ALEXANDRIA,MAURY ELEM,Elem,KG,5,Mathematics,84
ALEXANDRIA,MAURY ELEM,Elem,KG,5,Science,84
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,English: Reading,69
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,History & Social Sciences,79
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,Mathematics,61
ALEXANDRIA,MOUNT VERNON ELEM,Elem,PK,5,Science,63
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,English: Reading,76
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,History & Social Sciences,86
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,Mathematics,84
ALEXANDRIA,PATRICK HENRY ELEM,Elem,KG,5,Science,76
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,English: Reading,80
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,History & Social Sciences,86
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,Mathematics,82
ALEXANDRIA,SAMUEL W. TUCKER ELEM,Elem,KG,5,Science,62
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,English: Reading,69
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,English: Writing,71
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,History & Social Sciences,74
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,Mathematics,54
ALEXANDRIA,T.C. WILLIAMS HIGH,High,9,12,Science,69
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,English: Reading,62
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,History & Social Sciences,51
ALEXANDRIA,WILLIAM RAMSAY ELEM,Elem,KG,5,Mathematics,54
