Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native,Asian,Black,Native_Hawaiian_Pacific_Islander,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,3,24,0,10,14,0,40,6,94,0,88
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,4,20,2,18,8,0,40,10,98,0,88
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,5,17,1,11,5,0,39,3,76,0,73
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,KG,24,0,7,6,0,39,14,90,0,76
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,PK,23,0,7,8,0,22,10,70,0,60
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,1,18,0,5,5,0,82,15,125,0,110
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,2,7,0,7,6,1,94,15,130,0,115
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,3,17,0,4,2,0,97,12,132,0,120
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,4,11,0,5,4,0,90,15,125,0,110
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,5,17,0,5,5,0,109,9,145,0,136
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,KG,13,0,12,6,1,87,14,133,0,119
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,PK,3,0,0,1,0,2,4,10,0,6
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,1,6,0,8,1,0,58,13,86,0,73
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,2,7,0,8,1,0,67,8,91,0,83
