Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native ,Asian,Black,Native_Hawaiian_Pacific_Islander ,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,1,22,0,1,20,0,37,0,80,0,80
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,2,17,0,1,34,0,32,0,84,0,84
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,3,30,1,0,31,0,44,2,108,0,108
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,4,23,0,0,32,0,38,0,93,0,93
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,5,28,0,2,35,0,30,0,95,0,95
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,KG,28,0,1,35,0,25,0,89,0,89
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,PK,15,0,0,14,0,18,0,47,0,47
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,1,39,0,0,54,0,17,0,110,0,110
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,2,35,0,1,44,0,16,0,96,0,96
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,3,35,0,1,48,0,24,0,108,0,108
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,4,34,0,0,40,0,23,4,101,0,101
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,5,37,0,0,37,0,10,0,84,0,84
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,KG,35,0,0,37,0,27,0,99,0,99
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,PK,26,0,0,6,0,4,0,36,0,36
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,9,30,1,1,96,1,73,0,202,0,202
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,10,43,3,0,74,0,104,1,225,0,225
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,11,32,0,0,63,0,71,1,167,0,167
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,12,25,1,2,59,0,63,2,152,0,152
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,PG,0,0,0,1,0,0,0,1,0,1
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,6,49,0,3,74,0,65,2,193,0,193
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,7,27,0,1,78,0,72,0,178,0,178
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,8,36,1,0,67,0,88,0,192,0,192
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,1,9,0,0,42,0,14,3,68,0,68
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,2,16,0,0,42,1,22,0,81,0,81
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,3,13,0,0,40,0,18,1,72,0,72
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,4,11,0,0,42,1,22,0,76,0,76
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,5,12,0,0,40,0,19,1,72,0,72
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,KG,7,0,0,43,0,26,2,78,0,78
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,PK,8,0,0,17,0,10,0,35,0,35
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,1,0,0,0,0,0,3,0,3,0,3
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,2,0,0,0,0,0,3,0,3,0,3
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,3,0,0,0,0,0,3,0,3,0,3
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,4,0,0,0,0,0,2,0,2,0,2
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,5,0,0,0,0,0,8,0,8,0,8
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,6,0,0,0,0,0,6,0,6,0,6
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,7,0,0,0,0,0,10,0,10,0,10
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,8,0,0,0,0,0,7,0,7,0,7
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,9,0,0,0,0,0,1,0,1,0,1
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,10,0,0,0,0,0,4,0,4,0,4
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,11,0,0,0,0,0,7,0,7,0,7
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,12,0,0,0,0,0,9,0,9,0,9
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,KG,0,0,0,0,0,3,0,3,0,3
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,1,19,0,3,21,1,33,8,85,0,85
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,2,21,0,4,16,1,24,7,73,0,73
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,3,21,0,3,23,0,37,4,88,0,88
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,4,27,1,5,21,0,28,8,90,0,90
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,5,20,0,4,15,0,28,6,73,0,73
